./data/original/LC-QuAD-data/train-data.json	'Which political party got elected in First Legislative Assembly of Uttar Pradesh ?' is a duplicate; found in paths: 	         ./data/original/LC-QuAD-data/train-data.json and 	        ./data/original/LC-QuAD-data/train-data.json	Instance found in newer file ./data/original/LC-QuAD-data/train-data.json will be kept.		
./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which telecommunications organizations are located in Belgium?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which companies work in the aerospace industry as well as on nuclear reactor technology?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'What is the highest mountain?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'What is the currency of the Czech Republic?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'In which films directed by Garry Marshall was Julia Roberts starring?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Who developed the video game World of Warcraft?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Who owns Aldi?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'What is the area code of Berlin?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'When was the Battle of Gettysburg?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'What are the official languages of the Philippines?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Give me the homepage of Forbes.' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Is proinsulin a protein?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'List all episodes of the first season of the HBO television series The Sopranos!' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which country has the most official languages?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which U.S. states possess gold minerals?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Is Egypts largest city also its capital?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which caves have more than 3 entrances?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Give me all films produced by Hal Roach.' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which bridges are of the same type as the Manhattan Bridge?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Was U.S. president Jackson involved in a war?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which software has been developed by organizations founded in California?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Who has been the 5th president of the United States of America?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which music albums contain the song Last Christmas?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Which countries in the European Union adopted the Euro?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'When was Capcom founded?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Give me all soccer clubs in the Premier League.' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-train.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'Who is the owner of Universal Studios?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/2/data/dbpedia-train-answers.xml	'What did Bruce Carver die from?' is a duplicate; found in paths: 	         ./data/original/QALD-master/2/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/1/data/dbpedia-test.xml	Instance found in newer file ./data/original/QALD-master/2/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/3/data/dbpedia-train-answers.xml	'Which river does the Brooklyn Bridge cross?' is a duplicate; found in paths: 	         ./data/original/QALD-master/3/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/2/data/dbpedia-train-answers.xml	Instance found in newer file ./data/original/QALD-master/3/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/3/data/dbpedia-train-answers.xml	'Give me the websites of companies with more than 500000 employees.' is a duplicate; found in paths: 	         ./data/original/QALD-master/3/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/2/data/dbpedia-train-answers.xml	Instance found in newer file ./data/original/QALD-master/3/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/3/data/dbpedia-train-answers.xml	'What is the official website of Tom Cruise?' is a duplicate; found in paths: 	         ./data/original/QALD-master/3/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/2/data/dbpedia-train-answers.xml	Instance found in newer file ./data/original/QALD-master/3/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/3/data/dbpedia-train-answers.xml	'Give me all movies with Tom Cruise.' is a duplicate; found in paths: 	         ./data/original/QALD-master/3/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/2/data/dbpedia-train-answers.xml	Instance found in newer file ./data/original/QALD-master/3/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/3/data/dbpedia-train-answers.xml	'Who created Wikipedia?' is a duplicate; found in paths: 	         ./data/original/QALD-master/3/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/2/data/dbpedia-train-answers.xml	Instance found in newer file ./data/original/QALD-master/3/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/3/data/dbpedia-train-answers.xml	'How many films did Hal Roach produce?' is a duplicate; found in paths: 	         ./data/original/QALD-master/3/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/2/data/dbpedia-train-answers.xml	Instance found in newer file ./data/original/QALD-master/3/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/3/data/dbpedia-train-answers.xml	'In which country does the Nile start?' is a duplicate; found in paths: 	         ./data/original/QALD-master/3/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/2/data/dbpedia-train-answers.xml	Instance found in newer file ./data/original/QALD-master/3/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/3/data/dbpedia-train-answers.xml	'Which states of Germany are governed by the Social Democratic Party?' is a duplicate; found in paths: 	         ./data/original/QALD-master/3/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/2/data/dbpedia-train-answers.xml	Instance found in newer file ./data/original/QALD-master/3/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/3/data/dbpedia-train-answers.xml	'How tall is Claudia Schiffer?' is a duplicate; found in paths: 	         ./data/original/QALD-master/3/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/2/data/dbpedia-train-answers.xml	Instance found in newer file ./data/original/QALD-master/3/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/3/data/dbpedia-train-answers.xml	'Which television shows were created by Walt Disney?' is a duplicate; found in paths: 	         ./data/original/QALD-master/3/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/2/data/dbpedia-train-answers.xml	Instance found in newer file ./data/original/QALD-master/3/data/dbpedia-train-answers.xml will be kept.		

./data/original/QALD-master/3/data/dbpedia-train-answers.xml	'What is the highest place of Karakoram?' is a duplicate; found in paths: 	         ./data/original/QALD-master/3/data/dbpedia-train-answers.xml and 	        ./data/original/QALD-master/2/data/dbpedia-train-answers.xml	Instance found in newer file ./data/original/QALD-master/3/data/dbpedia-train-answers.xml will be kept.		

